date,dlog_GoldPrice,dlog_VNIndex_pos,dlog_VNIndex_neg,dlog_OilPrice_pos,dlog_OilPrice_neg,dlog_ExchangeRate_pos,dlog_ExchangeRate_neg,d_CPI_pos,d_CPI_neg,d_IR_pos,d_IR_neg,dlog_GoldReserve_pos,dlog_GoldReserve_neg,dlog_M2_pos,dlog_M2_neg,dlog_GoldDemand_pos,dlog_GoldDemand_neg,dlog_VNIndex,dlog_OilPrice,dlog_ExchangeRate,d_CPI,d_IR,dlog_M2,dlog_GoldReserve,dlog_GoldDemand
2010-10-01,0.09601537,0.374821297,0.0,2.006010803,0.0,0.154122815,0.0,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,0.374821297,2.006010803,0.154122815,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-04,0.986797758,0.0,-0.441112316,0.0,-0.171779183,0.076972422,0.0,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,-0.441112316,-0.171779183,0.076972422,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-05,0.820193872,0.0,-2.574865188,1.704655913,0.0,0.0,-0.025650892,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,-2.574865188,1.704655913,-0.025650892,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-06,2.573241397,2.68532582,0.0,0.45772183,0.0,0.0,-0.051321531,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,2.68532582,0.45772183,-0.051321531,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-07,-0.606982137,1.989354052,0.0,0.0,-2.272963243,0.076972422,0.0,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,1.989354052,-2.272963243,0.076972422,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-08,-2.153929425,0.0,0.0,1.60979086,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,0.0,1.60979086,0.0,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-11,1.359304217,0.0,-1.000660949,0.0,-0.582384563,0.0,-0.128320305,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,-1.000660949,-0.582384563,-0.128320305,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-12,-0.245775853,0.0,-0.043734967,0.0,-0.622522609,0.0,-0.102774932,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,-0.043734967,-0.622522609,-0.102774932,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-13,0.704983763,0.0,-0.878740277,1.65152509,0.0,0.246482614,0.0,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,-0.878740277,1.65152509,0.246482614,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-14,1.274675832,1.445808318,0.0,0.0,-0.386147457,0.0,-0.015387377,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,1.445808318,-0.386147457,-0.015387377,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-15,0.21087521,0.0,-0.588942699,0.0,-1.805587664,0.010258515,0.0,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,-0.588942699,-1.805587664,0.010258515,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-18,-0.180722941,0.283998006,0.0,2.227860114,0.0,0.0,-0.010258515,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,0.283998006,2.227860114,-0.010258515,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-19,0.631106527,0.0,0.0,0.0,-4.292610081,0.0,-0.025650892,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,0.0,-4.292610081,-0.025650892,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-20,-1.175243299,0.0,-1.671838323,2.922808676,0.0,0.0,-0.205444346,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,-1.671838323,2.922808676,-0.205444346,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-21,0.393284428,0.0,-1.948768133,0.0,-2.346365977,0.205444346,0.0,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,-1.948768133,-2.346365977,0.205444346,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-22,-1.092907053,0.60886421,0.0,1.389772958,0.0,0.0,-0.102669414,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,0.60886421,1.389772958,-0.102669414,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-25,0.699622626,0.0,-0.022484542,1.04199533,0.0,0.0,-0.102774932,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,-0.022484542,1.04199533,-0.102774932,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-26,-0.242792229,1.229203096,0.0,0.729043326,0.0,0.205444346,0.0,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,1.229203096,0.729043326,0.205444346,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-27,-0.030390518,1.104495434,0.0,0.0,-0.851068967,0.0,0.0,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,1.104495434,-0.851068967,0.0,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-28,-0.09122701,0.0,-1.460526073,0.36563112,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,-1.460526073,0.36563112,0.0,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-10-29,0.546117862,0.422645496,0.0,0.0,-0.916596701,0.0,-0.051321531,0.0025,0.0,0.0,0.0,0.058779262,0.0,0.013174801,0.0,-0.0869325343988212,-0.0869325343988212,0.422645496,-0.916596701,-0.051321531,0.0025,0.0,0.013174801,0.058779262,-0.0869325343988212
2010-11-01,1.561124469,0.288152699,0.0,1.812811977,0.0,0.076972422,0.0,0.0144,0.0,0.0,0.0,0.057021412,0.0,0.012787677,0.0,-0.0869325343988212,-0.0869325343988212,0.288152699,1.812811977,0.076972422,0.0144,0.0,0.012787677,0.057021412,-0.0869325343988212
2010-11-02,0.445832214,0.0,-0.710798195,1.162734106,0.0,0.0,-0.076972422,0.0144,0.0,0.0,0.0,0.057021412,0.0,0.012787677,0.0,-0.0869325343988212,-0.0869325343988212,-0.710798195,1.162734106,-0.076972422,0.0144,0.0,0.012787677,0.057021412,-0.0869325343988212
2010-11-03,0.207376759,0.0,-0.738340976,0.641484737,0.0,0.0,0.0,0.0144,0.0,0.0,0.0,0.057021412,0.0,0.012787677,0.0,-0.0869325343988212,-0.0869325343988212,-0.738340976,0.641484737,0.0,0.0144,0.0,0.012787677,0.057021412,-0.0869325343988212
2010-11-04,1.206074334,0.0,-0.269845003,2.386915706,0.0,0.0,0.0,0.0144,0.0,0.0,0.0,0.057021412,0.0,0.012787677,0.0,-0.0869325343988212,-0.0869325343988212,-0.269845003,2.386915706,0.0,0.0144,0.0,0.012787677,0.057021412,-0.0869325343988212
2010-11-05,2.08340869,1.851698194,0.0,0.415369237,0.0,0.051321531,0.0,0.0144,0.0,0.0,0.0,0.057021412,0.0,0.012787677,0.0,-0.0869325343988212,-0.0869325343988212,1.851698194,0.415369237,0.051321531,0.0144,0.0,0.012787677,0.057021412,-0.0869325343988212
2010-11-08,2.573241397,1.121014047,0.0,0.252990015,0.0,0.0,-0.051321531,0.0144,0.0,0.0,0.0,0.057021412,0.0,0.012787677,0.0,-0.0869325343988212,-0.0869325343988212,1.121014047,0.252990015,-0.051321531,0.0144,0.0,0.012787677,0.057021412,-0.0869325343988212
2010-11-09,2.573241397,0.0,-0.416165314,0.0,-0.034460973,0.0,0.0,0.0144,0.0,0.0,0.0,0.057021412,0.0,0.012787677,0.0,-0.0869325343988212,-0.0869325343988212,-0.416165314,-0.034460973,0.0,0.0144,0.0,0.012787677,0.057021412,-0.0869325343988212
2010-11-10,-1.223007498,0.0,-1.749186633,0.83519735,0.0,0.076972422,0.0,0.0144,0.0,0.0,0.0,0.057021412,0.0,0.012787677,0.0,-0.0869325343988212,-0.0869325343988212,-1.749186633,0.83519735,0.076972422,0.0144,0.0,0.012787677,0.057021412,-0.0869325343988212
